ID,ID_reference,class
57163008,44303000,Parallelism
27996119,13550690,Duplicate
18694572,18633326,Priori
61276700,44747145,Parallelism
13797869,13796513,Duplicate
9291671,2956618,Priori
40942455,33815495,Parallelism
30666763,30471089,Priori
7894273,1786500,Priori
27714298,17831990,Priori
64120119,23367857,Parallelism
16333324,16305794,Priori
18734335,15630331,Parallelism
12241287,398903,Duplicate
41945156,1988665,parallelism
22185495,19458957,Duplicate
60846619,28780915,Parallelism
19304709,6922533,Parallelism
8382153,216450,Parallelism
35714129,6146963,Parallelism
12499523,10842428,Duplicate
41951175,36444920,Parallelism
5742685,122883,Duplicate
10875557,9123238,Priori
13839825,3360349,Priori
21500057,21499700,Priori
22746879,13568119,Parallelism
37599318,37576159,Containment
14613765,751000,Containment
11074900,8211982,Parallelism
58224973,10473419,Priori
57253931,12575068,Priori
47517985,33209631,Parallelism
30871042,12955867,Priori
16429288,7745959,Priori
3378601,3329731,Priori
42605093,35880022,Parallelism
60774048,57180339,Parallelism
11503269,11433303,Duplicate
18882678,18859045,containment
2414565,2409870,Priori
26597286,18806349,Priori
45613257,3005383,Priori
60386528,53216175,Parallelism
48638448,25101534,Duplicate
48026665,5038430,priori
47026624,36496791,Parallelism
30675762,21174487,Parallelism
39822835,17414994,Containment
62856533,3828192,Parallelism
40405377,21854426,Parallelism
54087899,6050478,Parallelism
54087899,37346550,Parallelism
61154061,52939427,Duplicate
56005092,54585829,Containment
35260037,18869321,Duplicate
24168844,13294851,Priori
11388700,7582781,Parallelism
16838757,4197976,Duplicate
46569251,16131963,Parallelism
32396413,30546430,Parallelism
39772230,35424854,Parallelism
42562756,36921094,priori
59126755,39188376,Parallelism
28332566,28306604,Priori
7672381,3431663,Parallelism
12138697,4026021,Duplicate
46435609,7787773,Parallelism
12893657,9265788,Parallelism
5752057,3117615,Duplicate
31503488,31503429,Parallelism
48790682,48692425,Priori
14071317,2370288,Duplicate
31108706,9207249,Parallelism
4986372,343899,Parallelism
45069478,34527115,Parallelism
49375243,36488219,Containment
17199011,14338482,Duplicate
40480929,39318683,Containment
56169480,56156436,Priori
9947827,7462827,Duplicate
12410777,5852863,Containment
32527665,10212265,Priori
63904961,44783736,priori
39211526,26829554,Parallelism
27857640,13381318,Parallelism
53680611,32142922,Parallelism
52380496,28829818,Parallelism
17324726,10858998,Priori
21176756,16346158,Priori
53149499,24002836,Parallelism
3640496,3638467,Priori
61439423,20194722,Containment
37865827,31594472,Parallelism
10552690,9746260,Duplicate
54620813,12043086,Parallelism
36344315,8847115,Duplicate
60726684,59772633,Parallelism
13015583,2066883,priori
53579852,8639261,Duplicate
45282755,4878259,Priori
33344537,1464355,Containment
37620500,29997719,Parallelism
42246195,30068147,Priori
53608463,40130619,Duplicate
51794742,51254960,Duplicate
52619800,43876394,Parallelism
36048142,11296471,Parallelism
37661581,24179796,Duplicate
20849063,752774,Priori
3832541,3824263,Posterior
32797220,24313858,Containment
52899006,20153881,Parallelism
9911541,421696,Parallelism
51535178,30278485,Containment
5186162,13371147,Duplicate
32851341,1201102,Parallelism
53521867,15388973,Parallelism
56200731,14655204,Priori
34494310,9869150,Parallelism
55899871,8417983,Parallelism
18421973,7666680,Parallelism
59058867,57907511,Duplicate
48110503,29971548,Priori
53012065,5841587,Priori
39998793,40002115,Parallelism
59237059,55315827,Priori
60180688,11763389,Priori
12512961,12472665,Priori
19019714,9120103,Priori
61532288,19681605,Parallelism
42798523,25146777,Priori
4936977,943862,Priori
40203494,6292437,Containment
41491267,11064503,Priori
37986523,35312857,Priori
58806913,58794825,Priori
23571731,23466584,Duplicate
42683071,23471004,Priori
6051237,4596314,Priori
58518445,51296374,Priori
35406831,31416822,Priori
30061046,2938529,Priori
41397,41404,Parallelism
61909298,57590195,Priori
42296117,40056499,Containment
39441339,15636604,Priori
6760325,6306148,Priori
40012407,1181538,Priori
32742689,27361554,Parallelism
6304720,4316700,Parallelism
28004657,5570717,Duplicate
22228144,20149160,Priori
50422316,4305399,Parallelism
1963041,1306903,Parallelism
49985943,49912245,Parallelism
63097976,21118824,Priori
64755896,51790666,Priori
51794274,51788969,Containment
27198603,6693784,Priori
47518707,18880992,Priori
903816,928182,Parallelism
60791179,31424853,Priori
15266448,6832677,Priori
2850974,203802,Containment
28167042,18135030,Duplicate
27105067,9464679,Parallelism
10570942,6698824,Priori
14765240,14576216,Containment
37204434,3654821,Containment
25526745,6378872,Priori
34781394,24077363,Parallelism
55094503,49242192,Parallelism
59498581,55599689,Parallelism
47356726,21789908,Duplicate
25060759,7165749,Priori
2422179,2362080,Priori
32502472,16511037,Parallelism
34611134,6700039,Priori
63708259,51088321,Priori
17819764,3795780,Parallelism
47897521,30915191,Parallelism
33981719,32302771,Parallelism
26206431,24750461,Parallelism
9856115,5626884,Priori
18100611,1568666,Duplicate
50633096,50597839,Priori
52955767,49126167,Priori
42623600,16803946,Priori
34792494,5794183,Duplicate
43108421,10000042,Containment
44352737,5672407,Parallelism
61418057,1218933,Containment
17199138,2380649,Duplicate
35444516,2119714,Priori
41817175,18677837,Priori
41977259,5862560,Duplicate
14683455,391784,Containment
61482170,10894323,Priori
5444786,5342185,Priori
6012730,3278069,Duplicate
26209236,1767045,Duplicate
50400046,15549308,Parallelism
26193036,2410836,Duplicate
41472498,36380449,Containment
29609837,15519626,Priori
56683361,16228248,Parallelism
38135151,12394696,Parallelism
57265049,35424053,Duplicate
7711486,3541615,Containment
13116641,10830757,Priori
29182641,12649573,Parallelism
16607718,13831472,Duplicate
60107970,52662394,Duplicate
63015012,8600161,Duplicate
35290073,34640790,Duplicate
52351316,17393812,Duplicate
44107423,10904339,Containment
401592,285710,Duplicate
44960568,495021,Duplicate
56108883,30934314,Duplicate
39937594,10262763,Duplicate
50123461,24468456,Duplicate
8955040,7860137,Containment
11765593,762141,Parallelism
3418781,1506096,Duplicate
9861007,7538376,Duplicate
31530808,1823655,Containment
30357216,25250171,Parallelism
61775553,40370022,Priori
44005275,43939648,Duplicate
20200776,17716080,Duplicate
39487366,39189111,Priori
58424018,29140402,Parallelism
12959505,6891447,Priori
46457281,26642369,Priori
24507875,16533288,Parallelism
38629219,22198859,Priori
28680708,15353457,Parallelism
45202187,11321491,Priori
49715568,3769607,Priori
38861760,4616694,Priori
55661616,18659654,Duplicate
46345049,13402104,Duplicate
40986644,26566317,Priori
33390779,885349,Containment
7422191,3321082,Priori
3946881,3920971,Duplicate
60375949,191359,Priori
21449555,5319840,Priori
6134998,6075375,Containment
33119343,9080904,Containment
46367487,4316727,Priori
20828534,10127607,Duplicate
17773783,158706,Priori
4969928,1403615,Duplicate
17999093,11782237,Duplicate
42847546,1867708,Priori
28920012,19777316,Duplicate
14919181,4004340,Containment
6720912,1258275,Parallelism
62692330,4810417,Priori
62586554,19596750,Priori
17750620,9907200,Containment
24936595,7398290,Containment
50048672,39309920,Duplicate
28006425,1012437,Priori
19590026,11725594,Duplicate
18491763,12156976,Duplicate
6645769,6638702,Duplicate
29359741,29137090,Duplicate
32575508,30809362,Parallelism
15124091,2353404,Duplicate
33452435,19783646,Duplicate
34173012,31810832,Parallelism
1139189,786734,Duplicate
25102035,10901259,Containment
5437794,763579,Priori
61628660,33092424,Parallelism
44788849,14220321,Duplicate
14270543,919612,Containment
20931654,1334694,Duplicate
19995777,17677655,Parallelism
53724604,38592137,Duplicate
18355555,5412069,Duplicate
27298223,21977532,Duplicate
53394547,20773850,Duplicate
4273121,274474,Duplicate
26118679,14810215,Duplicate
51074890,2808549,Duplicate
45176243,44885943,Parallelism
64930087,62744121,Priori
49591806,11318942,Priori
3174509,1449438,Containment
77077,76437,Priori
46408994,4475200,Containment
41956504,18239665,Priori
28429194,362006,Containment
28429194,696641,Containment
2908346,2293724,Priori
21012187,8923988,Containment
463307,463117,Priori
36940852,36919852,Duplicate
19071716,19071717,Priori
27843088,12232775,Duplicate
11805336,2518960,Duplicate
39769855,21103600,Duplicate
30097217,19806947,Duplicate
28035225,9067777,Priori
59069036,34980212,Duplicate
63135171,63133598,Parallelism
17893012,13022788,Parallelism
52013731,52012868,Parallelism
4660317,2050145,Duplicate
49735901,48599182,Priori
41454237,5559132,Priori
45155580,34158197,Priori
57698466,40934452,Priori
5886279,5885270,Parallelism
40981579,17266450,Duplicate
46651398,31687067,Duplicate
54008793,34108140,Priori
15896997,2662323,Duplicate
62586863,15641895,Duplicate
10984605,9532721,Containment
29733506,29630168,Duplicate
50365522,50367467,Duplicate
11228080,2620698,Duplicate
1043525,6980,Parallelism
21052897,19778924,Containment
8422234,495631,Containment
57270624,6944095,Duplicate
52682534,52682352,Duplicate
37097735,36997645,Duplicate
7997598,645771,Priori
38001210,37246263,Containment
53075367,16372984,Duplicate
23862583,23862438,Duplicate
20471165,6244487,Containment
63222778,63222771,Duplicate
23549474,23483865,Parallelism
24962858,11765399,Priori
51712591,38537412,Containment
35012184,30101172,Duplicate
54350864,21020411,Priori
45753349,41140885,Duplicate
22803541,2087356,Duplicate
62021495,50986803,Duplicate
52832387,49153481,Priori
23285968,10741161,Duplicate
61993393,59481329,Priori
60909893,30284028,Parallelism
